step,active_vehicles,waiting_time,halting,speed,reward
61,997,409.0,33,8.501812600064678,-26.30830217262451
62,997,442.0,33,8.505759684262017,-26.921849082860867
63,996,475.0,34,8.502853695275627,-27.30062883516512
64,995,510.0,36,8.406667509840936,-28.89423302082131
65,995,545.0,35,8.382464292728992,-27.985670689353427
66,995,582.0,38,8.359776391841816,-30.49044678302952
67,995,619.0,38,8.271158234063764,-30.650784533290164
68,995,656.0,37,8.310613642062187,-31.25134254835575
69,994,693.0,39,8.336805799919183,-32.55883157298808
70,994,732.0,40,8.276542307494383,-34.385544454466526
71,994,771.0,39,8.323218612089917,-33.34587463350572
72,994,811.0,42,8.247850946533967,-35.31577938031093
73,994,852.0,42,8.163508316721924,-35.64689622588402
74,994,893.0,41,8.151640828775218,-35.564695843579045
75,994,936.0,44,8.213224314253601,-38.880943315387064
76,994,979.0,44,8.062881791090716,-38.58996371693841
77,994,1023.0,44,8.1722687137967,-39.11937458725342
78,993,1067.0,45,8.241378835987497,-40.32114825108577
79,993,1113.0,47,8.087525483245496,-41.52801868248474
80,993,1159.0,46,8.191662896557409,-42.240744227731355
81,993,1205.0,47,8.148023846330936,-42.12654624676282
82,993,1253.0,50,8.039733377606588,-44.48543908043936
83,993,1302.0,49,8.042584062895772,-44.8999768654015
84,993,1351.0,50,8.064384644829335,-44.65059325749792
85,992,1402.0,52,7.904670331155807,-46.518377498101714
86,992,1453.0,52,8.02961341490206,-49.21000292480967
87,992,1505.0,53,8.101908888027213,-50.01830543032173
88,992,1558.0,54,7.949990787960106,-50.5355275549412
89,991,1611.0,53,7.93443960603344,-50.1799718505182
90,990,1665.0,55,7.95974912202889,-51.00430729596295
91,989,1720.0,56,7.875520461968021,-53.1913764907305
92,988,1775.0,55,7.934694392256393,-52.806084681813616
93,988,1831.0,57,7.926640922128141,-54.57267580146765
94,988,1888.0,58,7.831019326309483,-56.361972495548
95,988,1947.0,59,7.806820671741086,-57.560880627289016
96,987,2007.0,62,7.778501139806464,-59.40713160438187
97,987,2068.0,61,7.711187034983798,-59.785845872659046
98,987,2130.0,63,7.574384225237976,-60.640722015223005
99,987,2193.0,65,7.451480467271702,-62.471074576150784
100,986,2258.0,65,7.453204995367372,-64.72416713322703
101,986,2320.0,66,7.399296855171051,-64.65385451689711
102,985,2383.0,68,7.447693060580273,-67.34907723195676
103,984,2446.0,66,7.461662418988696,-67.1658510273278
104,984,2511.0,68,7.353405390599615,-68.05307812249872
105,984,2578.0,70,7.381697770283477,-70.65950335611214
106,984,2645.0,68,7.3298279908294734,-69.69563500290957
107,984,2712.0,69,7.33345564272163,-71.34019279002925
108,984,2780.0,70,7.288338628750768,-71.35501878895136
109,984,2850.0,70,7.323602358571895,-73.03644359399033
110,983,2921.0,72,7.333691736808001,-75.03325351495539
111,983,2992.0,73,7.318932707655376,-75.35903266135135
112,983,3065.0,74,3.9032812146067024,-80.0379447221212
113,983,3138.0,74,7.289124536047848,-77.77055482658454
114,983,3212.0,76,7.267586802895243,-79.92868928093176
115,983,3287.0,76,3.7599549672684724,-83.80478193683228
116,983,3363.0,76,7.178966249999451,-80.74965057504869
117,983,3441.0,79,7.1709094235525646,-83.77323731497131
118,983,3521.0,83,3.676793179475398,-89.55147622400492
119,983,3601.0,81,7.081213473144555,-86.05354218546054
