Iterasyon,Egitim Ort. Odul,Degerlendirme Ort. Odul,Toplam Adim
324,-201716.96000000054,0,0
325,-138605.84000000008,0,0
326,nan,0,0
327,-124641.99999999991,0,0
328,-107691.70000000008,0,0
329,-148273.54000000015,0,0
330,-182914.4800000001,0,0
331,nan,0,0
332,-175728.1400000007,0,0
333,-171635.0200000001,0,0
334,-214929.5000000004,0,0
335,-216090.40000000005,0,0
336,nan,0,0
337,-211375.67999999982,0,0
338,-195304.36000000057,0,0
339,-203096.43999999997,0,0
340,-114352.3999999999,0,0
341,nan,0,0
342,-189993.26000000024,0,0
343,-144543.06000000017,0,0
344,-195649.86000000002,0,0
345,-146428.37999999998,0,0
346,nan,0,0
347,-176642.27999999985,0,0
348,-251921.84000000003,0,0
349,-200600.68000000034,0,0
350,-99479.45999999989,0,0
351,nan,0,0
352,-137885.9800000001,0,0
353,-179943.5199999996,0,0
354,-156247.2200000002,0,0
355,-172895.25999999995,0,0
356,nan,0,0
357,-162731.78000000006,0,0
358,-83505.95999999988,0,0
359,-201832.47999999986,0,0
360,-247070.24000000017,0,0
361,nan,0,0
362,-226709.40000000005,0,0
363,-135077.12000000026,0,0
364,-169102.30000000002,0,0
365,-191746.05999999994,0,0
366,nan,0,0
367,-185165.5799999999,0,0
368,-225135.64000000004,0,0
369,-253987.18000000017,0,0
370,-149500.6599999999,0,0
371,nan,0,0
372,-155608.13999999966,0,0
373,-194154.0600000001,0,0
374,-175960.51999999996,0,0
375,-187103.37999999995,0,0
376,nan,0,0
377,-241435.1199999995,0,0
378,-170105.49999999994,0,0
379,-191744.57999999984,0,0
380,-240392.36000000004,0,0
381,nan,0,0
382,-194652.68000000017,0,0
383,-183590.43999999992,0,0
384,-182162.1399999999,0,0
385,-219669.95999999985,0,0
386,nan,0,0
387,-252939.78000000035,0,0
388,-214054.32000000007,0,0
389,-252208.41999999993,0,0
390,-166011.06000000017,0,0
391,nan,0,0
392,-152578.85999999975,0,0
393,-187807.82,0,0
394,-186556.1999999999,0,0
395,-184031.44000000006,0,0
396,nan,0,0
397,-190753.2799999999,0,0
398,-150865.35999999987,0,0
399,-219644.82000000024,0,0
400,-136873.42000000004,0,0
401,nan,0,0
402,-211507.17999999996,0,0
403,-168993.92000000004,0,0
404,-137049.76000000007,0,0
405,-256767.58000000013,0,0
406,nan,0,0
407,-214926.53999999978,0,0
408,-208809.20000000013,0,0
409,-191706.23999999985,0,0
410,-241396.7399999998,0,0
411,nan,0,0
412,-247409.55999999982,0,0
413,-222765.80000000005,0,0
414,-138836.02000000014,0,0
415,-177597.19999999955,0,0
416,nan,0,0
417,-203162.22000000003,0,0
418,-172546.3599999999,0,0
419,-142649.77999999997,0,0
420,-174141.08000000002,0,0
421,nan,0,0
422,-230567.28000000003,0,0
423,-167372.3200000003,0,0
424,-180093.68000000014,0,0
425,-108636.7,0,0
426,nan,0,0
427,-198826.7400000001,0,0
428,-125025.64000000007,0,0
429,-163753.41999999998,0,0
430,-95942.92,0,0
431,nan,0,0
432,-215730.34000000005,0,0
433,-143296.09999999998,0,0
434,-216676.34000000014,0,0
435,-161180.7400000001,0,0
436,nan,0,0
437,-229855.4800000001,0,0
438,-221494.41999999998,0,0
439,-220904.17999999988,0,0
440,-203515.81999999998,0,0
441,nan,0,0
442,-233497.63999999996,0,0
443,-219840.18000000017,0,0
444,-184392.47999999995,0,0
445,-158351.51999999996,0,0
446,nan,0,0
447,-217377.8400000002,0,0
448,-239655.58000000013,0,0
449,-264218.3600000003,0,0
450,-164540.89999999967,0,0
451,nan,0,0
452,-226065.48,0,0
453,-217865.26000000015,0,0
454,nan,0,0
455,-160576.63999999987,0,0
456,-231370.98,0,0
457,-211844.20000000013,0,0
458,-154314.14,0,0
459,nan,0,0
460,-210512.8600000001,0,0
461,-111103.44000000003,0,0
462,-263992.5200000006,0,0
463,-256898.8600000004,0,0
464,nan,0,0
465,-222591.52,0,0
466,-151375.0400000003,0,0
467,-190289.91999999995,0,0
468,-225674.4400000003,0,0
469,nan,0,0
470,-185612.90000000008,0,0
471,-57700.779999999984,0,0
472,-182878.58000000007,0,0
473,-231688.9599999999,0,0
474,nan,0,0
475,-180169.45999999988,0,0
476,-232879.26000000007,0,0
477,-185329.05999999988,0,0
478,-159316.24000000022,0,0
479,nan,0,0
480,-211646.49999999994,0,0
481,-122421.47999999978,0,0
482,-149306.58000000007,0,0
483,-71959.52000000002,0,0
484,nan,0,0
485,-174858.00000000006,0,0
486,-252100.4400000003,0,0
487,-177515.63999999972,0,0
488,-216673.96000000002,0,0
489,nan,0,0
490,-155156.32000000012,0,0
491,-220700.31999999977,0,0
492,-197780.67999999993,0,0
493,-225227.33999999965,0,0
494,nan,0,0
495,-172048.71999999997,0,0
496,-192199.08000000013,0,0
497,-140421.5199999998,0,0
498,-129123.62000000004,0,0
499,nan,0,0
500,-152869.29999999996,0,0
