step,active_vehicles,waiting_time,halting,speed
180,966,25615.0,358,0.8416812892095222
181,966,25964.0,358,0.8326538166981076
182,966,26314.0,358,0.8319724495104001
183,966,26668.0,362,0.8066594316182575
184,966,27031.0,363,0.7860563108135025
185,965,27387.0,365,0.7514857279081619
186,965,27752.0,366,0.7460056656213473
187,965,28119.0,367,0.7335916986509968
188,965,28487.0,368,0.7381633887677337
189,965,28857.0,371,0.7386852434422805
190,964,29228.0,371,0.7052911372135159
191,964,29600.0,372,0.7037469019157289
192,964,29972.0,372,0.6767049329584309
193,964,30345.0,373,0.6598192593974478
194,964,30718.0,373,0.6481756102209281
195,964,31092.0,374,0.6509397660476973
196,963,31467.0,375,0.615222704043582
197,963,31842.0,375,0.6025214042801708
198,963,32217.0,375,0.5827182113364939
199,963,32568.0,375,0.5710579524241579
200,962,32929.0,373,0.5173956962232121
201,962,33304.0,375,0.5022259022265824
202,962,33679.0,375,0.5111399556551147
203,962,34057.0,378,0.49828287524528625
204,962,34435.0,378,0.44399182398823145
205,962,34813.0,379,0.4123065409009963
206,962,35159.0,379,0.3914622910593485
207,962,35538.0,379,0.3849644093052248
208,962,35918.0,380,0.3759301977065065
209,962,36299.0,381,0.3653555333461467
210,962,36680.0,381,0.3426923318411458
211,962,37064.0,384,0.3240111384440419
212,962,37446.0,383,0.30060717158118166
213,962,37829.0,383,0.2916418044116068
214,961,38214.0,385,0.2728018805164987
215,961,38599.0,385,0.2659897353301801
216,961,38984.0,385,0.25322721534316356
217,961,39370.0,386,0.25033674870838374
218,961,39756.0,387,0.24533290214948722
219,961,40142.0,387,0.25645275400093953
220,961,40529.0,387,0.26660596848136275
221,961,40916.0,387,0.261096510616567
222,961,41304.0,388,0.23872188185692558
223,961,41692.0,388,0.20892827631490402
224,961,42079.0,389,0.20655924053898256
225,961,42466.0,388,0.20093282860644215
226,960,42855.0,389,0.1334272516471171
227,965,43242.0,389,0.11742626723477184
228,965,43632.0,390,0.12242075348203643
229,965,44023.0,391,0.11773315980343997
230,965,44412.0,390,0.12438029774278625
231,965,44802.0,390,0.12332272455515635
232,965,45192.0,390,0.11359914102302353
233,965,45582.0,390,0.10462330551244323
234,965,45973.0,391,0.09233213572501822
235,965,46366.0,393,0.08656498577917492
236,965,46758.0,393,0.09089751476920307
237,965,47153.0,395,0.09114903323686346
238,965,47549.0,396,0.08993289311523615
239,965,47945.0,396,0.09674161276194397
240,965,48341.0,396,0.09114011691951178
241,965,48738.0,397,0.09034387960549846
242,965,49136.0,398,0.08253378347664213
243,965,49534.0,398,0.0714746216285631
244,965,49933.0,399,0.05870255686133956
245,965,50332.0,399,0.045124274844677334
246,965,50732.0,400,0.031163530398784035
247,965,51133.0,401,0.016758037526103803
248,965,51536.0,403,0.007569180707455394
249,965,51939.0,403,0.005139095964348632
250,965,52343.0,404,0.0026737336903643848
251,965,52748.0,405,0.0028005841421173392
252,965,53152.0,405,0.0009427215113178877
253,965,53558.0,406,0.0006476208796721056
254,965,53965.0,407,0.0003300377957414751
255,965,54372.0,407,0.00023325532431137545
256,965,54779.0,407,0.0001247219965165213
257,965,55186.0,407,4.593313995868937e-05
258,965,55593.0,407,1.9458847724432686e-05
259,965,56000.0,407,8.094055646130869e-06
260,965,56407.0,407,2.126883159669629e-06
261,965,56814.0,407,4.105454339964643e-07
262,965,57221.0,407,0.0
263,965,57628.0,407,0.0
264,965,58035.0,407,0.0
265,965,58442.0,407,0.0
266,965,58849.0,407,0.0
267,965,59256.0,407,0.0
268,965,59663.0,407,0.0
269,965,60070.0,407,0.0
270,965,60477.0,407,0.0
271,965,60884.0,407,0.0
272,965,61291.0,407,0.0
273,965,61698.0,407,0.0
274,965,62105.0,407,0.0
275,965,62512.0,407,0.0
276,965,62919.0,408,0.0
277,965,63326.0,407,0.0043657976594141815
278,965,63733.0,407,0.008005034263809576
279,965,64140.0,407,0.01277309863710566
280,965,64547.0,407,0.01901517486092452
281,965,64954.0,407,0.02303438163773321
282,965,65361.0,407,0.026280376741402395
283,965,65768.0,407,0.030553505192019704
284,965,66175.0,407,0.031951104310744896
285,965,66582.0,407,0.022677915862176476
286,965,66989.0,407,0.013278312688978132
287,965,67396.0,407,0.011997135542932861
288,965,67803.0,407,0.013058852165105933
289,965,68210.0,407,0.0191884628927635
290,965,68617.0,407,0.025450643570552087
291,965,69024.0,407,0.028909184097389396
292,965,69431.0,408,0.03159968220202954
293,965,69838.0,407,0.03529334532239268
294,965,70245.0,407,0.041112617944517205
295,965,70652.0,407,0.04419799753597937
296,965,71059.0,407,0.048539867431476105
297,965,71466.0,407,0.05142882672082693
298,965,71873.0,407,0.057298094619675465
299,965,72280.0,407,0.06386089429302533
300,965,72687.0,409,0.06392505330306016
